"","x"
"246","2310067B10Rik"
"247","2410002F23Rik"
"248","2410004B18Rik"
"249","2410004N09Rik"
"250","2410004P03Rik"
"251","2410006H16Rik"
"252","2410015M20Rik"
"253","2410016O06Rik"
"254","2410018M08Rik"
"255","2410066E13Rik"
"256","2410076I21Rik"
"257","2410089E03Rik"
"258","2410131K14Rik"
"259","2410133F24Rik"
"260","2500002B13Rik"
"261","2500004C02Rik"
"262","2510002D24Rik"
"263","2510003E04Rik"
"264","2510009E07Rik"
"265","2510016G02Rik"
"266","2510039O18Rik"
"267","2510046G10Rik"
"268","2610001J05Rik"
"269","2610002J02Rik"
"270","2610002M06Rik"
"271","2610008E11Rik"
"272","2610015P09Rik"
"273","2610018G03Rik"
"274","2610019E17Rik"
"275","2610020C07Rik"
"276","2610020H08Rik"
"277","2610021A01Rik"
"278","2610028H24Rik"
"279","2610034B18Rik"
"280","2610035D17Rik"
"281","2610037D02Rik"
"282","2610044O15Rik8"
"283","2610203C22Rik"
"284","2610204G22Rik"
"285","2610301B20Rik"
"286","2610305D13Rik"
"287","2610307P16Rik"
"288","2610507B11Rik"
"289","2610507I01Rik"
"290","2610524H06Rik"
"291","2610528J11Rik"
"292","2700016F22Rik"
"293","2700029M09Rik"
"294","2700038G22Rik"
"295","2700046A07Rik"
"296","2700046G09Rik"
"297","2700049A03Rik"
"298","2700050L05Rik"
"299","2700060E02Rik"
"300","2700062C07Rik"
"301","2700073G19Rik"
"302","2700081O15Rik"
"303","2700086A05Rik"
"304","2700089E24Rik"
"305","2700094K13Rik"
"306","2700097O09Rik"
"307","2810001G20Rik"
"308","2810002D19Rik"
"309","2810004N23Rik"
"310","2810006K23Rik"
"311","2810008D09Rik"
"312","2810021J22Rik"
"313","2810025M15Rik"
"314","2810029C07Rik"
"315","2810055G20Rik"
"316","2810403A07Rik"
"317","2810403D21Rik"
"318","2810408A11Rik"
"319","2810408M09Rik"
"320","2810417H13Rik"
"321","2810428I15Rik"
"322","2810442I21Rik"
"323","2810468N07Rik"
"324","2810474O19Rik"
"325","2900005J15Rik"
"326","2900008C10Rik"
"327","2900026A02Rik"
"328","2900052L18Rik"
"329","2900056M20Rik"
"330","2900076A07Rik"
"331","2900089D17Rik"
"332","3010001F23Rik"
"333","3010026O09Rik"
"334","3110001I22Rik"
"335","3110002H16Rik"
"336","3110009E18Rik"
"337","3110021N24Rik"
"338","3110040N11Rik"
"339","3110043O21Rik"
"340","3110045C21Rik"
"341","3110047P20Rik"
